no,tanggal,bulan,hari,keterangan,sumber_info,waktu_info,kelurahan,kecamatan,wilayah,objek_awal,jenis_bangunan,penyebab,korban_jiwa,kerugian
589,10,3,Minggu,Bencana Kebakaran,Masyarakat,19:20,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,6,50000000
590,11,3,Senin,Bencana Kebakaran,Petugas Instansi Lain,23:15,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Mobil Angkot F 1902 M,,Lain,0,80000000
591,12,3,Selasa,Bencana Kebakaran,Masyarakat,3:50,Ragunan,Pasar Minggu,Kota Administrasi Jakarta Selatan,Kios / Toko,Bangunan Rendah,Kompor,14,300000000
592,12,3,Selasa,Bencana Kebakaran,Masyarakat,17:40,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,5,100000000
593,12,3,Selasa,Bencana Kebakaran,Masyarakat,12:40,Paseban,Senen,Kota Administrasi Jakarta Pusat,Rumah Tinggal Sekolahan dan Ruang Prasarana Logistik RS. Carolous,Bangunan Menengah,Listrik,30,4176000000
595,13,3,Rabu,Bencana Kebakaran,Masyarakat,9:06,Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,5,5000000
596,13,3,Rabu,Bencana Kebakaran,Masyarakat,12:10,Grogol Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,3,40000000
597,13,3,Rabu,Bencana Kebakaran,Masyarakat,13:25,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,20,3000000000
598,14,3,Kamis,Bencana Kebakaran,Masyarakat,6:45,Senayan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Gedung Pajak,Bangunan Tinggi,Listrik,0,500000000
601,14,3,Kamis,Bencana Kebakaran,Masyarakat,20:43,Meruya Utara,Kembangan,Kota Administrasi Jakarta Barat,Kabel udara PLN,Bangunan Rendah,Listrik,0,1000000
603,15,3,Jumat,Bencana Kebakaran,Petugas Instansi Lain,12:15,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,HandPhone Meledak,Bangunan Rendah,Lain,6,3000000
604,15,3,Jumat,Bencana Kebakaran,Masyarakat,20:35,Tangerang,Tangerang,Kota Tangerang,Stop Kontak,Bangunan Rendah,Listrik,6,30000000
605,15,3,Jumat,Bencana Kebakaran,Masyarakat,9:00,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Meteran Listrik PLN,Bangunan Rendah,Listrik,0,5000000
606,15,3,Jumat,Bencana Kebakaran,Petugas Instansi Lain,20:20,Glodok,Tamansari,Kota Administrasi Jakarta Barat,Panel Listrik PLN,Bangunan Rendah,Listrik,0,5000000
607,16,3,Sabtu,Bencana Kebakaran,Masyarakat,8:05,Ancol,Pademangan,Kota Administrasi Jakarta Utara,Kapal PT. ALAINDO,,Lain,0,1500000000
608,16,3,Sabtu,Bencana Kebakaran,Masyarakat,14:50,Marunda,Cilincing,Kota Administrasi Jakarta Utara,Tumpukan Palet,,Lain,0,15000000
609,16,3,Sabtu,Bencana Kebakaran,Masyarakat,14:00,Bintaro,Pesanggrahan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,6,5000000
613,17,3,Minggu,Bencana Kebakaran,Petugas Instansi Lain,9:01,Duri Kepa,Kebun Jeruk,Kota Administrasi Jakarta Barat,Mobil Kopaja,,Listrik,0,10000000
614,17,3,Minggu,Bencana Kebakaran,Petugas Instansi Lain,9:19,Kota Bambu Selatan,Palmerah,Kota Administrasi Jakarta Barat,Kabel PLN,,Lain,0,2000000
615,17,3,Minggu,Bencana Kebakaran,Masyarakat,20:30,Depok,Depok,Kota Depok,Pangkalan Kayu,Bangunan Rendah,Listrik,6,400000000
616,18,3,Senin,Bencana Kebakaran,Masyarakat,1:30,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,Gardu box listrik,,Listrik,0,50000000
617,18,3,Senin,Bencana Kebakaran,Masyarakat,7:20,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,,Listrik,3,1000000
619,18,3,Senin,Bencana Kebakaran,Masyarakat,19:35,Meruya Selatan,Kembangan,Kota Administrasi Jakarta Barat,Mobil Angkot C13 (B 2615 EC),Bangunan Rendah,Listrik,0,150000000
620,19,3,Selasa,Bencana Kebakaran,Masyarakat,20:30,Kalibaru,Cilincing,Kota Administrasi Jakarta Utara,Mobil Carry,,Listrik,0,10000000
623,20,3,Rabu,Bencana Kebakaran,Masyarakat,12:05,Srengseng Sawah,Jagakarsa,Kota Administrasi Jakarta Selatan,Rumah Tinggal,,Listrik,5,4000000
625,21,3,Kamis,Bencana Kebakaran,Masyarakat,17:00,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Swalayan Seven7,,Listrik,0,175000000
626,21,3,Kamis,Bencana Kebakaran,Masyarakat,21:05,Cipinang,Pulogadung,Kota Administrasi Jakarta Timur,Rumah Tinggal,,Listrik,6,300000000
629,21,3,Kamis,Bencana Kebakaran,Masyarakat,12:52,Wijaya Kusuma,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,4,10000000
631,22,3,Jumat,Bencana Kebakaran,Masyarakat,10:45,Pesanggrahan,Pesanggrahan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,,Listrik,24,500000000
632,22,3,Jumat,Bencana Kebakaran,Masyarakat,12:30,Jelambar,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,0,2000000
633,23,3,Sabtu,Bencana Kebakaran,Masyarakat,3:00,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,2,50000000
638,25,3,Senin,Bencana Kebakaran,Petugas Instansi Lain,13:15,Pegadungan,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,0,130000000
640,26,3,Selasa,Bencana Kebakaran,Petugas Pemadam,9:30,Keagungan,Tamansari,Kota Administrasi Jakarta Barat,Gudang Kelurahan,Bangunan Menengah,Listrik,0,15000000
641,26,3,Selasa,Bencana Kebakaran,Masyarakat,9:40,Grogol Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Mobil Kijang B 2577 GG,,Lain,0,50000000
642,26,3,Selasa,Bencana Kebakaran,Masyarakat,14:35,Pondok Bambu,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Kontrakan,Bangunan Rendah,Listrik,0,150000000
643,26,3,Selasa,Bencana Kebakaran,Masyarakat,13:20,Cempaka Putih Barat,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,50,450000000
648,27,3,Rabu,Bencana Kebakaran,Masyarakat,15:20,Duri Selatan,Tambora,Kota Administrasi Jakarta Barat,Bengkel Las,Bangunan Rendah,Lain,0,5000000
649,28,3,Kamis,Bencana Kebakaran,Petugas Instansi Lain,5:00,Setiabudi,Setiabudi,Kota Administrasi Jakarta Selatan,Mobil Avanza,Bangunan Rendah,Lain,1,150000000
650,28,3,Kamis,Bencana Kebakaran,Masyarakat,14:55,Gandaria Selatan,Cilandak,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Lain,19,283000000
651,28,3,Kamis,Bencana Kebakaran,Masyarakat,13:00,Petojo Utara,Gambir,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,25,200000000
652,29,3,Jumat,Bencana Kebakaran,Masyarakat,14:30,Menteng,Menteng,Kota Administrasi Jakarta Pusat,Gedung,Bangunan Rendah,Lain,0,5000000
653,30,3,Sabtu,Bencana Kebakaran,Petugas Pemadam,20:20,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,0,1000000000
654,30,3,Sabtu,Bencana Kebakaran,Masyarakat,23:25,Semanan,Kalideres,Kota Administrasi Jakarta Barat,Gudang Ikan Asin,Bangunan Rendah,Lain,0,25000000
655,30,3,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,16:25,Meruya Utara,Kembangan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,7,600000000
656,31,3,Minggu,Bencana Kebakaran,Masyarakat,1:45,Rawa Badak Utara,Koja,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,3,70000000
658,1,4,Senin,Bencana Kebakaran,Masyarakat,13:00,Petojo Selatan,Gambir,Kota Administrasi Jakarta Pusat,Blower AC,,Listrik,0,15000000
659,1,4,Senin,Bencana Kebakaran,Masyarakat,16:00,Menteng,Menteng,Kota Administrasi Jakarta Pusat,Gedung Frezer Resident,Bangunan Rendah,Listrik,0,5000000
660,1,4,Senin,Bencana Kebakaran,Masyarakat,17:50,Joglo,Kembangan,Kota Administrasi Jakarta Barat,Bangunan Laundry,Bangunan Rendah,Lain,0,3000000
661,1,4,Senin,Bencana Kebakaran,Masyarakat,19:25,Duren Sawit,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,7,50000000
662,2,4,Selasa,Bencana Kebakaran,Masyarakat,7:00,Papanggo,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,400000000
663,2,4,Selasa,Bencana Kebakaran,Petugas Instansi Lain,7:00,Kembangan Selatan,Kembangan,Kota Administrasi Jakarta Barat,Basemant LGM Gedung Royal 2,Bangunan Rendah,Listrik,0,300000000
664,2,4,Selasa,Bencana Kebakaran,Masyarakat,19:43,Kramat Jati,Kramat Jati,Kota Administrasi Jakarta Timur,Pemanas Tenaga Surya,Bangunan Rendah,Listrik,5,5000000
665,3,4,Rabu,Bencana Kebakaran,Petugas Instansi Lain,0:30,Grogol,Grogol Petamburan,Kota Administrasi Jakarta Barat,Mobil Hyundai Avega,,Listrik,0,40000000
666,3,4,Rabu,Bencana Kebakaran,Masyarakat,18:15,Pasar Minggu,Pasar Minggu,Kota Administrasi Jakarta Selatan,Ruko Furniture,Bangunan Rendah,Listrik,0,3000000000
667,3,4,Rabu,Bencana Kebakaran,Petugas Instansi Lain,22:17,Rawa Buaya,Cengkareng,Kota Administrasi Jakarta Barat,Ruko 4 Lantai,Bangunan Rendah,Listrik,2,10000000
668,4,4,Kamis,Bencana Kebakaran,Masyarakat,7:18,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Kios / Toko,Bangunan Rendah,Listrik,1,30000000
672,5,4,Jumat,Bencana Kebakaran,Petugas Pemadam,20:30,Rawa Badak Utara,Koja,Kota Administrasi Jakarta Utara,Pendingin Ruangan (AC),Bangunan Rendah,Listrik,0,2000000
673,5,4,Jumat,Bencana Kebakaran,Masyarakat,23:35,Rawa Badak Utara,Koja,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Rokok,0,2000000
674,5,4,Jumat,Bencana Kebakaran,Masyarakat,11:55,Kalideres,Kalideres,Kota Administrasi Jakarta Barat,Mobil Taxi,,Listrik,0,150000000
675,6,4,Sabtu,Bencana Kebakaran,Masyarakat,12:40,Kebayoran Lama Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Mobil,,Listrik,0,90000000
678,7,4,Minggu,Bencana Kebakaran,Masyarakat,12:15,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,Kios Bansin dan Tambal Ban,Bangunan Rendah,Rokok,3,5000000
679,7,4,Minggu,Bencana Kebakaran,Masyarakat,13:36,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,Ruko,Bangunan Rendah,Listrik,0,100000000
680,7,4,Minggu,Bencana Kebakaran,Masyarakat,23:45,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,5,50000000
681,8,4,Senin,Bencana Kebakaran,Masyarakat,16:40,Krendang,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,45,1000000000
683,8,4,Senin,Bencana Kebakaran,Masyarakat,23:10,Meruya Utara,Kembangan,Kota Administrasi Jakarta Barat,Gardu listrik,Bangunan Rendah,Listrik,0,18000000
685,9,4,Selasa,Bencana Kebakaran,Petugas Instansi Lain,12:01,Sungai Bambu,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,10,750000000
686,10,4,Rabu,Bencana Kebakaran,Petugas Instansi Lain,1:10,Bekasi,Bekasi,Kota Bekasi,Gudang,Bangunan Rendah,Listrik,,10000000
687,10,4,Rabu,Bencana Kebakaran,Masyarakat,10:50,Angke,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,45,300000000
689,10,4,Rabu,Bencana Kebakaran,Petugas Instansi Lain,15:35,Pela Mampang,Mampang Prapatan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Lain,8,200000000
690,11,4,Kamis,Bencana Kebakaran,Masyarakat,11:15,Tangerang,Tangerang,Kota Tangerang,Rumah Tinggal,Bangunan Rendah,Kompor,2,10000000
692,12,4,Jumat,Bencana Kebakaran,Masyarakat,4:40,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,Toko Spare Part,Bangunan Rendah,Lain,0,200000000
693,12,4,Jumat,Bencana Kebakaran,Petugas Instansi Lain,8:25,Jembatan Lima,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,0,10000000
694,12,4,Jumat,Bencana Kebakaran,Masyarakat,10:35,Jatinegara,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,2,750000000
695,12,4,Jumat,Bencana Kebakaran,Masyarakat,18:04,Depok,Depok,Kota Depok,Gudang Furniture,Bangunan Rendah,Listrik,3,50000000
697,14,4,Minggu,Bencana Kebakaran,Masyarakat,16:36,Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,Mobil,,Listrik,0,15000000
699,15,4,Senin,Bencana Kebakaran,Petugas Instansi Lain,10:20,Pademangan Barat,Pademangan,Kota Administrasi Jakarta Utara,Rumah Tinggal,,Listrik,2,1000000
702,16,4,Selasa,Bencana Kebakaran,Masyarakat,1:30,Semanan,Kalideres,Kota Administrasi Jakarta Barat,Pabrik Tahu,,Rokok,0,200000000
703,16,4,Selasa,Bencana Kebakaran,Petugas Pemadam,19:22,Kamal,Kalideres,Kota Administrasi Jakarta Barat,Kabal Udara PLN,,Listrik,0,1000000
704,16,4,Selasa,Bencana Kebakaran,Masyarakat,21:50,Kebon Melati,Tanah Abang,Kota Administrasi Jakarta Pusat,Panel Listrik PLN,,Listrik,0,1000000
705,17,4,Rabu,Bencana Kebakaran,Masyarakat,7:10,Pinangsia,Tamansari,Kota Administrasi Jakarta Barat,rumah tinggal,,Lain,0,10000000
706,17,4,Rabu,Bencana Kebakaran,Masyarakat,18:44,Semanan,Kalideres,Kota Administrasi Jakarta Barat,Travo Udara PLN,,Listrik,0,160000000
708,18,4,Kamis,Bencana Kebakaran,Petugas Instansi Lain,7:55,Marunda,Cilincing,Kota Administrasi Jakarta Utara,tangki penyulingan minyak kelapa sawit,,Lain,0,100000000
710,18,4,Kamis,Bencana Kebakaran,Petugas Pemadam,14:30,Semanan,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Rokok,8,10000000
711,18,4,Kamis,Bencana Kebakaran,Masyarakat,21:45,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,ruko,,Lain,0,15500000
712,18,4,Kamis,Bencana Kebakaran,Masyarakat,23:35,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,,Listrik,4,400000000
713,19,4,Jumat,Pertolongan Gawat Darurat (Ambulan Paramedik),Petugas Instansi Lain,17:02,Kebagusan,Pasar Minggu,Kota Administrasi Jakarta Selatan,Evakuasi Rumah Tinggal,,Lain,8,150000000
714,20,4,Sabtu,Bencana Kebakaran,Masyarakat,2:30,Sunter Jaya,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,,Listrik,4,150000000
715,20,4,Sabtu,Bencana Kebakaran,Masyarakat,14:00,Tangerang,Tangerang,Kota Tangerang,Gudang Alat- alat Pesta,,Lain,,500000000
716,21,4,Minggu,Bencana Kebakaran,Masyarakat,5:30,Kalibaru,Cilincing,Kota Administrasi Jakarta Utara,Gudang Kayu,,Listrik,0,20000000
717,21,4,Minggu,Bencana Kebakaran,Masyarakat,5:23,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Gudang Kimia,,Lain,0,15000000
718,21,4,Minggu,Bencana Kebakaran,Petugas Pemadam,19:35,Ancol,Pademangan,Kota Administrasi Jakarta Utara,Ruko,,Listrik,0,300000000
719,21,4,Minggu,Bencana Kebakaran,Masyarakat,23:00,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,Rumah Tinggal,,Listrik,11,750000000
723,23,4,Selasa,Bencana Kebakaran,Petugas Instansi Lain,2:35,Menteng,Menteng,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,90,1000000000
724,23,4,Selasa,Bencana Kebakaran,Masyarakat,14:15,Tebet Timur,Tebet,Kota Administrasi Jakarta Selatan,Swalayan Seven7,Bangunan Rendah,Listrik,0,90000000
725,23,4,Selasa,Bencana Kebakaran,Petugas Instansi Lain,13:43,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,Polres Jakarta Barat,Bangunan Rendah,Listrik,0,2000000
726,23,4,Selasa,Bencana Kebakaran,Masyarakat,18:16,Jelambar baru,Grogol Petamburan,Kota Administrasi Jakarta Barat,Kabel udara PLN,Bangunan Rendah,Listrik,0,1000000
727,24,4,Rabu,Bencana Kebakaran,Masyarakat,4:15,Kampung Rawa,Johar Baru,Kota Administrasi Jakarta Pusat,Kabel udara PLN,Bangunan Rendah,Listrik,0,4000000
730,25,4,Kamis,Bencana Kebakaran,Masyarakat,18:40,Kayu Putih,Pulogadung,Kota Administrasi Jakarta Timur,Panel Listrik,,Listrik,0,20000000
736,25,4,Kamis,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:30,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,Pohon Tumbang,,Lain,0,20000000
738,25,4,Kamis,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,18:00,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,Pohon Tumbang,,Lain,0,2000000
740,26,4,Jumat,Bencana Kebakaran,Masyarakat,8:00,tebet barat,Tebet,Kota Administrasi Jakarta Selatan,kabel pln,,Listrik,0,1000000
741,26,4,Jumat,Bencana Kebakaran,Masyarakat,14:15,Cipete utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,gudang rumah tinggal,,Listrik,0,500000000
742,27,4,Sabtu,Bencana Kebakaran,Masyarakat,4:20,tegal alur,Kalideres,Kota Administrasi Jakarta Barat,Pabrik Helm,Bangunan Rendah,Listrik,0,1000000000
743,27,4,Sabtu,Bencana Kebakaran,Masyarakat,12:25,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Gudang,Bangunan Rendah,Listrik,0,50000000
744,27,4,Sabtu,Bencana Kebakaran,Masyarakat,9:30,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Trafo PLN,,Listrik,0,10000000
745,27,4,Sabtu,Bencana Kebakaran,Masyarakat,11:03,Kramat Pela,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Gedung Kosong,Bangunan Menengah,Listrik,0,20000000
749,28,4,Minggu,Bencana Kebakaran,Masyarakat,13:20,Petojo Selatan,Gambir,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,5000000
751,1,5,Rabu,Bencana Kebakaran,Masyarakat,3:05,Pancoran,Pancoran,Kota Administrasi Jakarta Selatan,Sepeda Motor,,Listrik,0,9000000
752,1,5,Rabu,Bencana Kebakaran,Masyarakat,12:05,Angke,Tambora,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Listrik,0,3000000
756,3,5,Jumat,Bencana Kebakaran,Petugas Pemadam,13:55,Lebak Bulus,Cilandak,Kota Administrasi Jakarta Selatan,Lapak Pemulung,Bangunan Rendah,Listrik,8,40000000
757,3,5,Jumat,Bencana Kebakaran,Masyarakat,16:00,Duren Sawit,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,0,20000000
758,4,5,Sabtu,Bencana Kebakaran,Masyarakat,16:25,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,7,80000000
759,4,5,Sabtu,Bencana Kebakaran,Masyarakat,18:20,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,20,100000000
761,5,5,Minggu,Bencana Kebakaran,Masyarakat,11:42,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Mess Karyawan,Bangunan Rendah,Listrik,6,50000000
763,5,5,Minggu,Bencana Kebakaran,Petugas Instansi Lain,23:40,Roa Malaka,Tambora,Kota Administrasi Jakarta Barat,Bangunan Umum,Bangunan Rendah,Listrik,0,1000000
764,6,5,Senin,Bencana Kebakaran,Masyarakat,2:05,Pejaten Barat,Pasar Minggu,Kota Administrasi Jakarta Selatan,Kabel tiang listrik,,Listrik,0,1000000
765,7,5,Selasa,Bencana Kebakaran,Petugas Pemadam,13:01,Ceger,Cipayung,Kota Administrasi Jakarta Timur,Kandang Babi,Bangunan Rendah,Rokok,0,1000000
766,7,5,Selasa,Bencana Kebakaran,Masyarakat,11:03,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,Gardu listrik,,Lain,0,50000000
768,7,5,Selasa,Bencana Kebakaran,Masyarakat,20:05,Manggarai,Tebet,Kota Administrasi Jakarta Selatan,Kabel tiang listrik,,Lain,0,1000000
769,7,5,Selasa,Bencana Kebakaran,Masyarakat,23:35,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,Warung mie ayam,Bangunan Rendah,Kompor,0,1000000
770,7,5,Selasa,Bencana Kebakaran,Masyarakat,23:40,Tangerang,Tangerang,Kota Tangerang,RUKO,Bangunan Rendah,Listrik,,9500000000
771,8,5,Rabu,Bencana Kebakaran,Masyarakat,14:15,Jatinegara,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,6,80000000
772,8,5,Rabu,Bencana Kebakaran,Masyarakat,16:20,Ulujami,Pesanggrahan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,4,50000000
773,8,5,Rabu,Bencana Kebakaran,Petugas Instansi Lain,10:00,Kramat,Senen,Kota Administrasi Jakarta Pusat,Sepeda Motor,Bangunan Rendah,Listrik,0,6000000
774,8,5,Rabu,Bencana Kebakaran,Masyarakat,22:55,Kebayoran Lama Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Box Meter Listrik,Bangunan Rendah,Listrik,0,5000000
775,8,5,Rabu,Bencana Kebakaran,Masyarakat,20:45,Kembangan utara,Kembangan,Kota Administrasi Jakarta Barat,Mobil,Bangunan Rendah,Listrik,0,150000000
776,9,5,Kamis,Bencana Kebakaran,Petugas Instansi Lain,11:45,Gandaria Utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Gedung,Bangunan Rendah,Listrik,0,20000000
777,9,5,Kamis,Bencana Kebakaran,Masyarakat,21:00,Srengseng Sawah,Jagakarsa,Kota Administrasi Jakarta Selatan,Gedung SMK Teladan,Bangunan Menengah,Listrik,0,30000000
778,9,5,Kamis,Bencana Kebakaran,Petugas Instansi Lain,7:45,Roa Malaka,Tambora,Kota Administrasi Jakarta Barat,GARDU Listrik,,Listrik,0,300000000
780,11,5,Sabtu,Bencana Kebakaran,Masyarakat,7:54,tebet barat,Tebet,Kota Administrasi Jakarta Selatan,Mobil,Bangunan Rendah,Listrik,0,85000000
781,12,5,Minggu,Bencana Kebakaran,Masyarakat,3:45,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Bangunan Usaha,Bangunan Menengah,Listrik,0,25000000
782,13,5,Senin,Bencana Kebakaran,Masyarakat,14:15,Petogogan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Mesin Pemanas air,,Listrik,0,60000000
783,13,5,Senin,Bencana Kebakaran,Masyarakat,19:55,pesanggrahan,Pesanggrahan,Kota Administrasi Jakarta Selatan,Box Listrik,,Listrik,0,1000000
784,14,5,Selasa,Bencana Kebakaran,Masyarakat,10:45,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Kompor,4,1000000
785,14,5,Selasa,Bencana Kebakaran,Masyarakat,14:00,Kembangan Utara,Kembangan,Kota Administrasi Jakarta Barat,Rumah Penduduk,Bangunan Rendah,Kompor,43,150000000
787,16,5,Kamis,Bencana Kebakaran,Petugas Instansi Lain,0:20,Cikini,Menteng,Kota Administrasi Jakarta Pusat,Kantor PT. Rotariana Engineering,Bangunan Menengah,Listrik,0,150000000
788,16,5,Kamis,Bencana Kebakaran,Masyarakat,21:50,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,Kabel udara PLN,,Listrik,0,1500000
789,17,5,Jumat,Bencana Kebakaran,Masyarakat,18:20,Bekasi,Bekasi,Kota Bekasi,Rumah Tinggal,Bangunan Rendah,Listrik,4,25000000
790,18,5,Sabtu,Bencana Kebakaran,Masyarakat,12:30,Tebet Timur,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,4,15000000
791,18,5,Sabtu,Bencana Kebakaran,Masyarakat,23:42,Cipulir,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,5,10000000
793,19,5,Minggu,Bencana Kebakaran,Masyarakat,13:59,Kota Bambu Selatan,Palmerah,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,12,75000000
795,20,5,Senin,Bencana Kebakaran,Masyarakat,3:48,Lebak Bulus,Cilandak,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,3,75000000
796,20,5,Senin,Bencana Kebakaran,Masyarakat,11:05,Bintaro,Pesanggrahan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Lain,5,10000000
797,20,5,Senin,Bencana Kebakaran,Masyarakat,22:10,Ciracas,Ciracas,Kota Administrasi Jakarta Timur,Kabel Udara PLN,Bangunan Rendah,Listrik,0,1000000
798,21,5,Selasa,Bencana Kebakaran,Masyarakat,20:35,Tanah Sereal,Tambora,Kota Administrasi Jakarta Barat,Gardu Listrik,Bangunan Rendah,Listrik,0,300000000
799,23,5,Kamis,Bencana Kebakaran,Masyarakat,7:25,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,3,70000000
800,23,5,Kamis,Bencana Kebakaran,Masyarakat,11:00,Sungai Bambu,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Kompor,6,10000000
801,24,5,Jumat,Bencana Kebakaran,Masyarakat,0:10,Bambu Apus,Cipayung,Kota Administrasi Jakarta Timur,Kios,Bangunan Rendah,Listrik,0,400000000
802,24,5,Jumat,Bencana Kebakaran,Masyarakat,0:30,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Bedeng tempat tinggal,Bangunan Rendah,Listrik,18,100000000
